Hull Type,Three Body
Hull Property,Symmetric
Hull subProperty,Symmetric_Constant Hull
Unit,inch,cubic Inch,lbs,Newton
Volume_Outside,5976.59,31712.5,5976.59,cu in
Volume_Inside,5169.23,28000.0,5169.23,cu in
Volume_Styrofoam,10338.46,cu in
Volume_Concrete,5327.21,cu in
WaterLine,0,inch
Canoe Weight,354.53,lbs
Total Weight,954.53,lbs
Buoyancy,6991.37,N
Buoyancy_Submerge,2508.25,N
Capability,1573.0591777186307,lbs
Capability_Submerge,564.3570583552305,lbs
FlowTest,Pass
SubmergeTest,Pass
